#Step   Etot   PotE Ktot  T
363 -1.835904 -2.401349  0.565445 0.57
364 -1.835908 -2.400060  0.564151 0.56
365 -1.835906 -2.399075  0.563170 0.56
366 -1.835906 -2.398372  0.562466 0.56
367 -1.835914 -2.397915  0.562001 0.56
368 -1.835916 -2.397647  0.561731 0.56
369 -1.835916 -2.397535  0.561619 0.56
370 -1.835917 -2.397552  0.561635 0.56
371 -1.835917 -2.397679  0.561762 0.56
372 -1.835909 -2.397905  0.561997 0.56
373 -1.835899 -2.398248  0.562349 0.56
374 -1.835900 -2.398740  0.562841 0.56
375 -1.835902 -2.399406  0.563504 0.56
376 -1.835905 -2.400279  0.564374 0.56
377 -1.835900 -2.401386  0.565486 0.57
378 -1.835901 -2.402769  0.566868 0.57
379 -1.835908 -2.404443  0.568534 0.57
380 -1.835909 -2.406396  0.570487 0.57
381 -1.835911 -2.408618  0.572706 0.57
382 -1.835915 -2.411072  0.575157 0.58
383 -1.835913 -2.413700  0.577786 0.58
384 -1.835920 -2.416449  0.580528 0.58
385 -1.835923 -2.419232  0.583310 0.58
386 -1.835924 -2.421980  0.586056 0.59
387 -1.835928 -2.424622  0.588694 0.59
388 -1.835931 -2.427092  0.591161 0.59
389 -1.835928 -2.429331  0.593403 0.59
390 -1.835927 -2.431310  0.595383 0.60
391 -1.835935 -2.433012  0.597077 0.60
392 -1.835934 -2.434410  0.598476 0.60
393 -1.835938 -2.435522  0.599584 0.60
394 -1.835933 -2.436353  0.600420 0.60
395 -1.835933 -2.436943  0.601010 0.60
396 -1.835928 -2.437318  0.601390 0.60
397 -1.835922 -2.437523  0.601601 0.60
398 -1.835917 -2.437605  0.601688 0.60
399 -1.835914 -2.437613  0.601699 0.60
400 -1.835911 -2.437591  0.601681 0.60
401 -1.835901 -2.437579  0.601678 0.60
402 -1.835896 -2.437631  0.601735 0.60
403 -1.835891 -2.437778  0.601886 0.60
404 -1.835890 -2.438053  0.602163 0.60
405 -1.835884 -2.438472  0.602588 0.60
406 -1.835884 -2.439057  0.603172 0.60
407 -1.835885 -2.439806  0.603921 0.60
408 -1.835884 -2.440709  0.604825 0.60
409 -1.835886 -2.441754  0.605868 0.61
410 -1.835883 -2.442908  0.607025 0.61
411 -1.835883 -2.444145  0.608262 0.61
412 -1.835883 -2.445426  0.609543 0.61
413 -1.835888 -2.446715  0.610827 0.61
414 -1.835896 -2.447971  0.612075 0.61
415 -1.835898 -2.449149  0.613252 0.61
416 -1.835899 -2.450226  0.614327 0.61
417 -1.835905 -2.451183  0.615278 0.62
418 -1.835900 -2.451991  0.616091 0.62
419 -1.835902 -2.452663  0.616761 0.62
420 -1.835904 -2.453194  0.617290 0.62
421 -1.835903 -2.453589  0.617687 0.62
422 -1.835904 -2.453867  0.617963 0.62
423 -1.835908 -2.454042  0.618134 0.62
424 -1.835907 -2.454120  0.618213 0.62
425 -1.835908 -2.454119  0.618211 0.62
426 -1.835903 -2.454037  0.618135 0.62
427 -1.835887 -2.453877  0.617990 0.62
428 -1.835889 -2.453666  0.617776 0.62
429 -1.835887 -2.453381  0.617494 0.62
430 -1.835884 -2.453024  0.617140 0.62
431 -1.835884 -2.452598  0.616714 0.62
432 -1.835886 -2.452098  0.616211 0.62
433 -1.835887 -2.451517  0.615631 0.62
434 -1.835884 -2.450851  0.614967 0.61
435 -1.835875 -2.450088  0.614213 0.61
436 -1.835873 -2.449231  0.613358 0.61
437 -1.835877 -2.448263  0.612386 0.61
