material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count
mp-26489,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,404.6540981670349,3.362731227559582,10.116352454175871,C2/m,12,Monoclinic,-2.623978575946427,0.04357401675000001,1.8989,3
mp-26605,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,911.1449458488005,2.9868858483292433,11.389311823110006,C2,5,Monoclinic,-2.634305192321428,0.033247400375,2.8815,3
mp-26705,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,446.41728772229243,3.048141301178149,11.16043219305731,C2/c,15,Monoclinic,-2.637023710946427,0.030528881750000004,2.9381999999999993,3
mp-26739,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,807.3217101482613,3.371005523972231,10.091521376853267,Ia-3d,230,Cubic,-2.632744236071428,0.034808356624999,3.1577,3
mp-26869,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,418.122849227466,3.2544094989795243,10.45307123068665,C2/c,15,Monoclinic,-2.629845771446428,0.037706821249999,2.6377,3
mp-26971,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,454.90793557113494,2.991249142659694,11.372698389278373,R-3,148,Trigonal,-2.667456581446428,9.60112500001387e-05,3.0572,3
mp-31729,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,461.1414787522723,2.950814522146352,11.528536968806808,Cc,9,Monoclinic,-2.6533882671964273,0.014164325500001,3.0089,3
mp-697753,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,464.6889391464685,2.92828784512417,11.617223478661712,Cc,9,Monoclinic,-2.643359378946427,0.024193213749999002,2.887399999999999,3
mp-757298,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,1005.3368312625099,2.7070389345179313,12.566710390781374,C2,5,Monoclinic,-2.574506519071428,0.093046073625,2.096,3
mp-774463,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,459.0780754649106,2.964077452159347,11.476951886622766,C2,5,Monoclinic,-2.625162658446428,0.042389934250000004,2.8417,3
