material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count,a,b,c,alpha,beta,gamma,Li_mass_frac,P_mass_frac,O_mass_frac,M_mass_frac,total_elec_neg,mean_radius
mp-26605,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,911.1449458488004,2.9868858483292438,11.389311823110006,C2,5,Monoclinic,-2.634305192321428,0.033247400375,2.8815,3,9.738565434850454,9.738565434850454,9.6782315309046,85.95794857702818,85.95794857702818,85.77968648904393,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26705,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,446.4172877222924,3.048141301178149,11.16043219305731,C2/c,15,Monoclinic,-2.637023710946427,0.03052888175,2.9381999999999997,3,8.40771392284948,8.40771392284948,8.567271944945427,61.493827939401285,61.493827939401285,62.745303281251985,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26739,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,807.3217101482613,3.371005523972231,10.091521376853269,Ia-3d,230,Cubic,-2.632744236071428,0.034808356624999,3.1577,3,10.159901732155285,10.159901732155285,10.159901732155285,109.47122063449069,109.47122063449069,109.47122063449069,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26869,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,418.122849227466,3.2544094989795243,10.45307123068665,C2/c,15,Monoclinic,-2.629845771446428,0.037706821249999,2.6377,3,8.497467245405128,8.497467245405128,6.348938365267457,73.51538642820363,73.51538642820363,92.06671545609906,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-26971,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,454.9079355711349,2.991249142659694,11.372698389278373,R-3,148,Trigonal,-2.667456581446428,9.60112500001387e-05,3.0572,3,8.906437602306434,8.906437602306434,8.906436859708265,56.13853591321815,56.13853591321815,56.13853247172264,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-31729,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,461.1414787522723,2.950814522146352,11.528536968806808,Cc,9,Monoclinic,-2.6533882671964277,0.014164325500001,3.0089,3,8.626983926969203,8.626983926969203,8.571968424722819,61.271966474550794,61.271966474550794,60.435951141617586,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-697753,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,464.6889391464685,2.92828784512417,11.617223478661712,Cc,9,Monoclinic,-2.643359378946427,0.024193213749999,2.887399999999999,3,8.705586894937985,8.705586894937985,8.684913375806808,60.11978975890841,60.11978975890841,59.56056488119564,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-757298,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,1005.33683126251,2.7070389345179318,12.566710390781374,C2,5,Monoclinic,-2.574506519071428,0.093046073625,2.096,3,8.823757,9.077394588923905,15.014818220036965,81.58538423779298,72.97519860060186,60.9581936907357,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-774463,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,459.0780754649106,2.964077452159347,11.476951886622766,C2,5,Monoclinic,-2.625162658446428,0.04238993425,2.8417,3,8.588497599939235,8.588497599939235,8.552857248849708,61.2803539335784,61.2803539335784,61.32234264822028,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-775597,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,918.7640339822556,2.962116325708347,11.484550424778195,P2_1/c,14,Monoclinic,-2.662873083821427,0.004679508875,2.7254,3,8.726337000000001,8.684401,14.918304231068422,54.357338608857894,90.0,90.0,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-779336,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,80,902.7028484997818,3.014819271984556,11.283785606247273,C2,5,Monoclinic,-2.614957291071428,0.052595301625,2.7965,3,9.680651886771727,9.680651886771727,9.687509167979403,86.46552405088693,86.46552405088693,86.26946178232461,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-780606,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,460.930981851618,2.952162093335476,11.523274546290448,P1,1,Triclinic,-2.667552592696427,0.0,2.9720999999999997,3,8.997865950320666,8.378316587014064,8.386182291466719,59.88374192312227,89.75074642227419,62.11752336398823,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-831192,Li3Cr2(PO4)3,Cr,Li3 Cr2 P3 O12,40,460.9309818174778,2.952162093554136,11.523274545436944,P1,1,Triclinic,2.8403471230535717,5.50789971575,0.0,3,8.367518,8.378316046071907,8.980363586676432,117.67066876226772,89.98888583434575,119.89519732492221,0.05082136110719701,0.2267870254214633,0.4685845180224681,0.25380709544887153,54.11,0.8674999999999999
mp-760100,Li4Cr2(PO4)3,Cr,Li4 Cr2 P3 O12,84,970.172819392294,2.85267644677076,11.549676421336832,P2_1/c,14,Monoclinic,-2.61336045010771,0.042042688690488,0.8370000000000001,4,8.832591,9.03827,15.048982760103154,53.85708426400829,90.0,90.0,0.06663302119892466,0.22300914925332593,0.4607787174917483,0.24957911205600108,55.09,0.895238095238095
mp-772960,Li4Cr2(PO4)3,Cr,Li4 Cr2 P3 O12,42,482.2892070786562,2.8692215278271997,11.483076359015625,P-1,2,Triclinic,-2.6245689210600918,0.030834217738108,1.3157,4,9.183431563110709,8.511840520853584,8.31361830807898,61.20454692763923,63.79114417783178,61.81239623318071,0.06663302119892466,0.22300914925332593,0.4607787174917483,0.24957911205600108,55.09,0.895238095238095
mp-1101532,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,440.2535588794216,2.986096850567936,12.229265524428378,Cc,9,Monoclinic,-2.466843056236772,0.032869214444451,0.100599999999999,1,8.534517144283443,8.534517144283443,8.51599846276131,60.23729563869106,60.23729563869106,60.023000360300884,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-1101602,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,882.650294800564,2.978846261912167,12.259031872230056,P2/c,13,Monoclinic,-2.465454747903438,0.034257522777784,0.0024,1,8.545674,8.523955,12.117199601869897,89.87335263439022,90.0,90.0,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-1247735,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,440.6314571715202,2.983535887473938,12.239762699208894,C2/c,15,Monoclinic,-2.464936310958993,0.03477595972223,0.0688,1,8.505936356380642,8.505936323249252,8.56145723956436,60.12172916245611,60.12172617338427,60.5570874628176,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-25838,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,430.1063773328274,3.056545624302297,11.947399370356315,R-3c,167,Trigonal,-2.455492755958993,0.044219514722229,0.0,1,8.454994387356209,8.454994387356209,8.454995129543304,60.280760666655226,60.280760666655226,60.28076537110946,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-26046,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,849.2492435149062,3.096004560875636,11.795128382151477,P2_1/c,14,Monoclinic,-2.456908504986771,0.042803765694451,0.3263,1,8.652625,8.314306,14.445687190635134,54.804489317495424,90.0,90.0,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-26080,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,889.488568590106,2.955945274721071,12.354007897084806,Pna2_1,33,Orthorhombic,-2.448030263320104,0.051682007361118,0.0,1,8.54451,8.642565,12.045104,90.0,90.0,90.0,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-26609,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,443.3355127226824,2.965338277431221,12.314875353407846,P-1,2,Triclinic,-2.455479578736771,0.044232691944452,0.0,1,8.238379,8.316665749710818,8.815404339745399,62.12696626954411,62.44946379990652,60.59386689443171,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-26740,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,778.5561852151977,3.377122398065059,10.81328035021108,I4_1/acd,142,Tetragonal,-2.3979381516534373,0.101774119027785,0.0,1,10.037783279436551,10.037783279436551,10.037783279436551,109.40788336776204,109.40788336776205,109.59796956663928,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-26870,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,422.397108300821,3.112331357829542,11.733253008356138,C2/c,15,Monoclinic,-2.391041450403438,0.108670820277785,0.0,1,8.568089946513458,8.568089946513458,6.259046989004317,74.1763106164622,74.1763106164622,91.95312684181634,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-31665,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,443.3111966477221,2.965500929284776,12.31419990688117,P-1,2,Triclinic,-2.458351434292327,0.041360836388895,0.3525,1,8.353719335964609,8.39684338109685,8.757158367283647,118.33982268411714,90.37468606870605,120.04462833164834,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-31677,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,399.7886029521397,3.288337276034223,11.105238970892769,C2/m,12,Monoclinic,-2.4244326476256592,0.075279623055562,0.0,1,4.7725634813635525,4.7725634813635525,19.132645761869867,89.2917150798167,89.2917150798167,66.56127267717947,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-697757,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,36,447.24991023738943,2.939385197245511,12.423608617705264,Cc,9,Monoclinic,-2.451948650125659,0.047763620555563,0.175,1,8.509316496955206,8.509316496955206,8.609799072460692,60.99222323922818,60.99222323922818,59.97923811893223,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-697813,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,919.6702064621188,2.858937380777957,12.773197311973872,P1,1,Triclinic,-2.386017544708994,0.113694725972228,0.0,1,9.733732,9.742222326781553,9.79997167738096,85.07970304370427,84.89403389566398,85.33660408900509,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
mp-777371,LiCr2(PO4)3,Cr,Li1 Cr2 P3 O12,72,924.2667480452482,2.844719380853041,12.837038167295113,Pbcm,57,Orthorhombic,-2.419090779153437,0.080621491527785,0.2913,1,8.696226,8.884297,11.963092,90.0,90.0,90.0,0.01753453982251125,0.23474023767842633,0.48501734580542255,0.2627078766936398,52.150000000000006,0.8027777777777777
